timestamp,platform,handle,followers
2025-10-27T10:00:00,instagram,gvillecertified,48
2025-10-27T10:00:00,instagram,jaxvillecertified,286
2025-10-27T10:00:00,instagram,omg.florida,10600
2025-10-27T10:00:00,instagram,orlandocertified,173
2025-10-27T10:00:00,instagram,soflocertified,11
2025-10-27T10:00:00,instagram,stpetecertified,2523
2025-10-27T10:00:00,instagram,swflcertified,33
2025-10-27T10:00:00,instagram,tallycertified,72
2025-10-27T20:00:00,instagram,gvillecertified,52
2025-10-27T20:00:00,instagram,jaxvillecertified,311
2025-10-27T20:00:00,instagram,omg.florida,10649
2025-10-27T20:00:00,instagram,orlandocertified,182
2025-10-27T20:00:00,instagram,soflocertified,60
2025-10-27T20:00:00,instagram,stpetecertified,2560
2025-10-27T20:00:00,instagram,swflcertified,38
2025-10-27T20:00:00,instagram,tallycertified,74
2025-10-28T10:00:00,instagram,gvillecertified,54
2025-10-28T10:00:00,instagram,jaxvillecertified,314
2025-10-28T10:00:00,instagram,omg.florida,10678
2025-10-28T10:00:00,instagram,orlandocertified,182
2025-10-28T10:00:00,instagram,soflocertified,87
2025-10-28T10:00:00,instagram,stpetecertified,2574
2025-10-28T10:00:00,instagram,swflcertified,38
2025-10-28T10:00:00,instagram,tallycertified,72
2025-10-28T20:00:00,instagram,gvillecertified,56
2025-10-28T20:00:00,instagram,jaxvillecertified,327
2025-10-28T20:00:00,instagram,omg.florida,10719
2025-10-28T20:00:00,instagram,orlandocertified,185
2025-10-28T20:00:00,instagram,soflocertified,117
2025-10-28T20:00:00,instagram,stpetecertified,2599
2025-10-28T20:00:00,instagram,swflcertified,41
2025-10-28T20:00:00,instagram,tallycertified,79
2025-10-29T10:00:00,instagram,gvillecertified,56
2025-10-29T10:00:00,instagram,jaxvillecertified,329
2025-10-29T10:00:00,instagram,omg.florida,10737
2025-10-29T10:00:00,instagram,orlandocertified,186
2025-10-29T10:00:00,instagram,soflocertified,133
2025-10-29T10:00:00,instagram,stpetecertified,2608
2025-10-29T10:00:00,instagram,swflcertified,41
2025-10-29T10:00:00,instagram,tallycertified,79
2025-10-29T20:00:00,instagram,gvillecertified,57
2025-10-29T20:00:00,instagram,jaxvillecertified,341
2025-10-29T20:00:00,instagram,omg.florida,10777
2025-10-29T20:00:00,instagram,orlandocertified,213
2025-10-29T20:00:00,instagram,soflocertified,186
2025-10-29T20:00:00,instagram,stpetecertified,2637
2025-10-29T20:00:00,instagram,swflcertified,43
2025-10-29T20:00:00,instagram,tallycertified,82
2025-10-30T10:00:00,instagram,gvillecertified,82
2025-10-30T10:00:00,instagram,jaxvillecertified,346
2025-10-30T10:00:00,instagram,omg.florida,10800
2025-10-30T10:00:00,instagram,orlandocertified,216
2025-10-30T10:00:00,instagram,soflocertified,209
2025-10-30T10:00:00,instagram,stpetecertified,2650
2025-10-30T10:00:00,instagram,swflcertified,44
2025-10-30T10:00:00,instagram,tallycertified,82
2025-10-30T20:00:00,instagram,gvillecertified,78
2025-10-30T20:00:00,instagram,jaxvillecertified,364
2025-10-30T20:00:00,instagram,omg.florida,10847
2025-10-30T20:00:00,instagram,orlandocertified,228
2025-10-30T20:00:00,instagram,soflocertified,262
2025-10-30T20:00:00,instagram,stpetecertified,2680
2025-10-30T20:00:00,instagram,swflcertified,57
2025-10-30T20:00:00,instagram,tallycertified,91
2025-10-31T10:00:00,instagram,gvillecertified,79
2025-10-31T10:00:00,instagram,jaxvillecertified,371
2025-10-31T10:00:00,instagram,omg.florida,10870
2025-10-31T10:00:00,instagram,orlandocertified,230
2025-10-31T10:00:00,instagram,soflocertified,283
2025-10-31T10:00:00,instagram,stpetecertified,2691
2025-10-31T10:00:00,instagram,swflcertified,58
2025-10-31T10:00:00,instagram,tallycertified,92
2025-10-31T20:00:00,instagram,gvillecertified,88
2025-10-31T20:00:00,instagram,jaxvillecertified,375
2025-10-31T20:00:00,instagram,omg.florida,10912
2025-10-31T20:00:00,instagram,orlandocertified,242
2025-10-31T20:00:00,instagram,soflocertified,316
2025-10-31T20:00:00,instagram,stpetecertified,2734
2025-10-31T20:00:00,instagram,swflcertified,61
2025-10-31T20:00:00,instagram,tallycertified,98
2025-11-01T10:00:00,instagram,gvillecertified,90
2025-11-01T10:00:00,instagram,jaxvillecertified,379
2025-11-01T10:00:00,instagram,omg.florida,10964
2025-11-01T10:00:00,instagram,orlandocertified,245
2025-11-01T10:00:00,instagram,soflocertified,341
2025-11-01T10:00:00,instagram,stpetecertified,2756
2025-11-01T10:00:00,instagram,swflcertified,62
2025-11-01T10:00:00,instagram,tallycertified,100
2025-11-03T10:00:00,instagram,gvillecertified,106
2025-11-03T10:00:00,instagram,jaxvillecertified,399
2025-11-03T10:00:00,instagram,omg.florida,11135
2025-11-03T10:00:00,instagram,orlandocertified,261
2025-11-03T10:00:00,instagram,soflocertified,429
2025-11-03T10:00:00,instagram,stpetecertified,2804
2025-11-03T10:00:00,instagram,swflcertified,78
2025-11-03T10:00:00,instagram,tallycertified,104
2025-11-03T20:00:00,instagram,gvillecertified,134
2025-11-03T20:00:00,instagram,jaxvillecertified,417
2025-11-03T20:00:00,instagram,omg.florida,11178
2025-11-03T20:00:00,instagram,orlandocertified,266
2025-11-03T20:00:00,instagram,soflocertified,472
2025-11-03T20:00:00,instagram,stpetecertified,2843
2025-11-03T20:00:00,instagram,swflcertified,90
2025-11-03T20:00:00,instagram,tallycertified,107
2025-11-04T10:00:00,instagram,gvillecertified,136
2025-11-04T10:00:00,instagram,jaxvillecertified,485
2025-11-04T10:00:00,instagram,omg.florida,11196
2025-11-04T10:00:00,instagram,orlandocertified,269
2025-11-04T10:00:00,instagram,soflocertified,485
2025-11-04T10:00:00,instagram,stpetecertified,2852
2025-11-04T10:00:00,instagram,swflcertified,95
2025-11-04T10:00:00,instagram,tallycertified,112
2025-12-31T10:00:00,instagram,gvillecertified,722
2025-12-31T10:00:00,instagram,jaxvillecertified,2924
2025-12-31T10:00:00,instagram,omg.florida,14379
2025-12-31T10:00:00,instagram,orlandocertified,913
2025-12-31T10:00:00,instagram,soflocertified,1689
2025-12-31T10:00:00,instagram,stpetecertified,4385
2025-12-31T10:00:00,instagram,swflcertified,1304
2025-12-31T10:00:00,instagram,tallycertified,728
2026-01-08T10:00:00,instagram,gvillecertified,813
2026-01-08T10:00:00,instagram,jaxvillecertified,3454
2026-01-08T10:00:00,instagram,omg.florida,14463
2026-01-08T10:00:00,instagram,orlandocertified,1026
2026-01-08T10:00:00,instagram,soflocertified,1917
2026-01-08T10:00:00,instagram,stpetecertified,4562
2026-01-08T10:00:00,instagram,swflcertified,1743
2026-01-08T10:00:00,instagram,tallycertified,863
2026-01-14T10:00:00,instagram,delraycertified,57900
2026-01-14T10:00:00,instagram,ftlauderdalecertified,60300
2026-01-14T10:00:00,instagram,gvillecertified,825
2026-01-14T10:00:00,instagram,jaxvillecertified,3686
2026-01-14T10:00:00,instagram,omg.florida,14815
2026-01-14T10:00:00,instagram,orlandocertified,1043
2026-01-14T10:00:00,instagram,soflocertified,2290
2026-01-14T10:00:00,instagram,stpetecertified,4645
2026-01-14T10:00:00,instagram,swflcertified,1814
2026-01-14T10:00:00,instagram,tallycertified,878
2026-01-14T10:00:00,instagram,tampabaycertified,258000
